symbol,timestamp,timezone,session_date,session_type,regular_session,timeframe,open,high,low,close,volume,source,source_as_of,data_vendor,context_24h_status,context_24h_as_of,macro_context_status,macro_context_as_of,iv_context_status,iv_context_as_of,event_context_status,event_context_as_of,notes
QQQ,2026-03-18T12:30:00-04:00,America/New_York,2026-03-18,regular,true,1h_rth,600.47,600.67,598.3,599.1501,2136690.598689,dxlink_candles.get_1h_ema50_snapshot,2026-05-15T18:48:44Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
QQQ,2026-03-18T13:30:00-04:00,America/New_York,2026-03-18,regular,true,1h_rth,599.17,601.16,598.69,599.73,2183848.577824,dxlink_candles.get_1h_ema50_snapshot,2026-05-15T18:48:44Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
QQQ,2026-03-18T14:30:00-04:00,America/New_York,2026-03-18,regular,true,1h_rth,599.72,599.92,596.22,596.52,3596136.305959,dxlink_candles.get_1h_ema50_snapshot,2026-05-15T18:48:44Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
QQQ,2026-03-18T15:30:00-04:00,America/New_York,2026-03-18,regular,true,1h_rth,596.51,597.005,594.56,594.78,3142705.404196,dxlink_candles.get_1h_ema50_snapshot,2026-05-15T18:48:44Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
QQQ,2026-03-19T09:30:00-04:00,America/New_York,2026-03-19,regular,true,1h_rth,589.525,592.37,587.08,589.53,8498329.689458,dxlink_candles.get_1h_ema50_snapshot,2026-05-15T18:48:44Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
QQQ,2026-03-19T10:30:00-04:00,America/New_York,2026-03-19,regular,true,1h_rth,589.53,593.13,589.425,590.37,4176503.477492,dxlink_candles.get_1h_ema50_snapshot,2026-05-15T18:48:44Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
QQQ,2026-03-19T11:30:00-04:00,America/New_York,2026-03-19,regular,true,1h_rth,590.36,591.8,588.8,590.56,3710548.01682,dxlink_candles.get_1h_ema50_snapshot,2026-05-15T18:48:44Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
QQQ,2026-03-19T12:30:00-04:00,America/New_York,2026-03-19,regular,true,1h_rth,590.57,591.33,588.37,590.05,3158148.236181,dxlink_candles.get_1h_ema50_snapshot,2026-05-15T18:48:44Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
QQQ,2026-03-19T13:30:00-04:00,America/New_York,2026-03-19,regular,true,1h_rth,590.04,591.76,589.14,590.52,2659610.223343,dxlink_candles.get_1h_ema50_snapshot,2026-05-15T18:48:44Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
QQQ,2026-03-19T14:30:00-04:00,America/New_York,2026-03-19,regular,true,1h_rth,590.54,595.8,589.33,593.54,6105760.154385,dxlink_candles.get_1h_ema50_snapshot,2026-05-15T18:48:44Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
