symbol,timestamp,timezone,session_date,session_type,regular_session,timeframe,open,high,low,close,volume,source,source_as_of,data_vendor,context_24h_status,context_24h_as_of,macro_context_status,macro_context_as_of,iv_context_status,iv_context_as_of,event_context_status,event_context_as_of,notes
IWM,2026-03-23T13:30:00-04:00,America/New_York,2026-03-23,regular,true,1h_rth,247.73,249.45,247.7,248.81,2518914.0,dxlink_candles.get_1h_ema50_snapshot,2026-05-19T01:47:01Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
IWM,2026-03-23T14:30:00-04:00,America/New_York,2026-03-23,regular,true,1h_rth,248.82,250.08,248.1301,248.35,2945421.0,dxlink_candles.get_1h_ema50_snapshot,2026-05-19T01:47:01Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
IWM,2026-03-23T15:30:00-04:00,America/New_York,2026-03-23,regular,true,1h_rth,248.34,248.985,247.41,247.43,1929680.71568,dxlink_candles.get_1h_ema50_snapshot,2026-05-19T01:47:01Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
IWM,2026-03-24T09:30:00-04:00,America/New_York,2026-03-24,regular,true,1h_rth,245.51,247.04,244.61,246.54,3383258.0,dxlink_candles.get_1h_ema50_snapshot,2026-05-19T01:47:01Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
IWM,2026-03-24T10:30:00-04:00,America/New_York,2026-03-24,regular,true,1h_rth,246.51,249.75,246.32,249.43,2691711.606662,dxlink_candles.get_1h_ema50_snapshot,2026-05-19T01:47:01Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
IWM,2026-03-24T11:30:00-04:00,America/New_York,2026-03-24,regular,true,1h_rth,249.41,249.87,248.32,249.29,1584463.0,dxlink_candles.get_1h_ema50_snapshot,2026-05-19T01:47:01Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
IWM,2026-03-24T12:30:00-04:00,America/New_York,2026-03-24,regular,true,1h_rth,249.29,249.46,247.26,247.865,1714539.0,dxlink_candles.get_1h_ema50_snapshot,2026-05-19T01:47:01Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
IWM,2026-03-24T13:30:00-04:00,America/New_York,2026-03-24,regular,true,1h_rth,247.85,249.09,247.39,249.01,1593370.0,dxlink_candles.get_1h_ema50_snapshot,2026-05-19T01:47:01Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
IWM,2026-03-24T14:30:00-04:00,America/New_York,2026-03-24,regular,true,1h_rth,249.01,250.16,248.91,249.21,1356877.0,dxlink_candles.get_1h_ema50_snapshot,2026-05-19T01:47:01Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
IWM,2026-03-24T15:30:00-04:00,America/New_York,2026-03-24,regular,true,1h_rth,249.205,249.43,248.57,248.79,1436194.0,dxlink_candles.get_1h_ema50_snapshot,2026-05-19T01:47:01Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
