symbol,timestamp,timezone,session_date,session_type,regular_session,timeframe,open,high,low,close,volume,source,source_as_of,data_vendor,context_24h_status,context_24h_as_of,macro_context_status,macro_context_as_of,iv_context_status,iv_context_as_of,event_context_status,event_context_as_of,notes
GLD,2026-03-23T09:30:00-04:00,America/New_York,2026-03-23,regular,true,1h_rth,405.0,414.5291,404.0105,412.14,2940613.887158,dxlink_candles.get_1h_ema50_snapshot,2026-05-20T16:25:45Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
GLD,2026-03-23T10:30:00-04:00,America/New_York,2026-03-23,regular,true,1h_rth,412.06,413.77,406.76,408.5,1853178.552425,dxlink_candles.get_1h_ema50_snapshot,2026-05-20T16:25:45Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
GLD,2026-03-23T11:30:00-04:00,America/New_York,2026-03-23,regular,true,1h_rth,408.47,409.3,399.6401,400.02,2527525.085897,dxlink_candles.get_1h_ema50_snapshot,2026-05-20T16:25:45Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
GLD,2026-03-23T12:30:00-04:00,America/New_York,2026-03-23,regular,true,1h_rth,400.05,405.49,399.89,404.615,1457132.54463,dxlink_candles.get_1h_ema50_snapshot,2026-05-20T16:25:45Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
GLD,2026-03-23T13:30:00-04:00,America/New_York,2026-03-23,regular,true,1h_rth,404.71,407.73,404.38,406.53,1130907.480309,dxlink_candles.get_1h_ema50_snapshot,2026-05-20T16:25:45Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
GLD,2026-03-23T14:30:00-04:00,America/New_York,2026-03-23,regular,true,1h_rth,406.54,410.33,403.58,405.13,1635132.392872,dxlink_candles.get_1h_ema50_snapshot,2026-05-20T16:25:45Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
GLD,2026-03-23T15:30:00-04:00,America/New_York,2026-03-23,regular,true,1h_rth,405.14,406.68,403.8805,403.9,1059815.380398,dxlink_candles.get_1h_ema50_snapshot,2026-05-20T16:25:45Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
GLD,2026-03-24T09:30:00-04:00,America/New_York,2026-03-24,regular,true,1h_rth,400.46,405.58,399.34,405.04,1874593.819611,dxlink_candles.get_1h_ema50_snapshot,2026-05-20T16:25:45Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
GLD,2026-03-24T10:30:00-04:00,America/New_York,2026-03-24,regular,true,1h_rth,404.96,407.28,403.8,405.355,1201438.342622,dxlink_candles.get_1h_ema50_snapshot,2026-05-20T16:25:45Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
GLD,2026-03-24T11:30:00-04:00,America/New_York,2026-03-24,regular,true,1h_rth,405.34,407.01,404.43,406.09,702960.990357,dxlink_candles.get_1h_ema50_snapshot,2026-05-20T16:25:45Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
GLD,2026-03-24T12:30:00-04:00,America/New_York,2026-03-24,regular,true,1h_rth,406.09,406.75,403.1,404.17,820304.088538,dxlink_candles.get_1h_ema50_snapshot,2026-05-20T16:25:45Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
GLD,2026-03-24T13:30:00-04:00,America/New_York,2026-03-24,regular,true,1h_rth,404.12,405.0899,401.63,404.88,638791.248152,dxlink_candles.get_1h_ema50_snapshot,2026-05-20T16:25:45Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
GLD,2026-03-24T14:30:00-04:00,America/New_York,2026-03-24,regular,true,1h_rth,404.89,406.31,402.72,404.84,560432.52947,dxlink_candles.get_1h_ema50_snapshot,2026-05-20T16:25:45Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
GLD,2026-03-24T15:30:00-04:00,America/New_York,2026-03-24,regular,true,1h_rth,404.8725,404.8725,403.75,404.1799,399879.278028,dxlink_candles.get_1h_ema50_snapshot,2026-05-20T16:25:45Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
GLD,2026-03-25T09:30:00-04:00,America/New_York,2026-03-25,regular,true,1h_rth,419.75,420.44,416.41,419.1,1213520.189601,dxlink_candles.get_1h_ema50_snapshot,2026-05-20T16:25:45Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
GLD,2026-03-25T10:30:00-04:00,America/New_York,2026-03-25,regular,true,1h_rth,419.1866,420.66,415.6,418.8912,966556.398859,dxlink_candles.get_1h_ema50_snapshot,2026-05-20T16:25:45Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
GLD,2026-03-25T11:30:00-04:00,America/New_York,2026-03-25,regular,true,1h_rth,418.92,419.31,417.46,418.45,676400.651199,dxlink_candles.get_1h_ema50_snapshot,2026-05-20T16:25:45Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
GLD,2026-03-25T12:30:00-04:00,America/New_York,2026-03-25,regular,true,1h_rth,418.5,418.99,417.33,418.3,649766.998457,dxlink_candles.get_1h_ema50_snapshot,2026-05-20T16:25:45Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
GLD,2026-03-25T13:30:00-04:00,America/New_York,2026-03-25,regular,true,1h_rth,418.35,419.75,417.57,418.19,1328974.833157,dxlink_candles.get_1h_ema50_snapshot,2026-05-20T16:25:45Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
GLD,2026-03-25T14:30:00-04:00,America/New_York,2026-03-25,regular,true,1h_rth,418.18,418.75,412.25,414.6,1064263.567061,dxlink_candles.get_1h_ema50_snapshot,2026-05-20T16:25:45Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
GLD,2026-03-25T15:30:00-04:00,America/New_York,2026-03-25,regular,true,1h_rth,414.7199,416.485,413.98,416.285,598544.134228,dxlink_candles.get_1h_ema50_snapshot,2026-05-20T16:25:45Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
GLD,2026-03-26T09:30:00-04:00,America/New_York,2026-03-26,regular,true,1h_rth,408.43,410.48,406.7614,409.46,1458990.50077,dxlink_candles.get_1h_ema50_snapshot,2026-05-20T16:25:45Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
GLD,2026-03-26T10:30:00-04:00,America/New_York,2026-03-26,regular,true,1h_rth,409.5,411.37,408.32,409.1584,622483.434541,dxlink_candles.get_1h_ema50_snapshot,2026-05-20T16:25:45Z,dxFeed via tastytrade dxLink,CONTEXT_24H_DAILY_UNCONFIRMED,,MACRO_UNCONFIRMED,,IV_UNCONFIRMED,,EVENT_UNCONFIRMED,,OHLCV returned by dxLink; unavailable context fields UNCONFIRMED.
